"Stuff1", "Stuff2"
"2004-04-12","2004-04-14"
"vs ARI","vs ARI"
"7","8"
"W 7-4","W 14-4"
"3-4","4-4"
"4","3"
"48,013","23,128"
"Jason Jennings","Joe Kennedy"
"Brandon Webb","Elmer Dessens"
"Vladimir Nunez","Joe Kennedy"
"Mike Koplove","Elmer Dessens"
"Shawn Chacon", ""
"32","46"
"35","39"
"-3","7"
